st_nm,st_nm11,N,UP_POP,UP_LR,UP_WPR
Andaman & Nicobar Island,Andaman & Nicobar Island*,,,,
Andhra Pradesh,Andhra Pradesh,23,68.85,69.1,69.19
Arunanchal Pradesh,Arunanchal Pradesh,13,67.17,68.96,69.14
Assam,Assam,23,67.14,69.12,69.07
Bihar,Bihar,37,67.45,68.97,69.15
Chandigarh,Chandigarh*,,,,
Chhattisgarh,Chhattisgarh,16,65.79,68.8,69.22
Dadara & Nagar Havelli,Dadara & Nagar Havelli*,,,,
Daman & Diu,Daman & Diu*,,,,
Goa,Goa*,,,,
Gujarat,Gujarat,25,65.74,69.1,69.23
Haryana,Haryana,19,68.05,69.23,69.21
Himachal Pradesh,Himachal Pradesh,12,63.69,69.23,69.16
Jammu & Kashmir,Jammu & Kashmir,14,65.13,68.84,68.89
Jharkhand,Jharkhand,18,66.62,68.72,69.09
Karnataka,Karnataka,27,66.55,69.05,69.26
Kerala,Kerala,14,67.31,69.28,69.08
Lakshadweep,Lakshadweep*,,,,
Madhya Pradesh,Madhya Pradesh,45,68.24,69.1,69.18
Maharashtra,Maharashtra,35,65.56,69.2,69.27
Manipur,Manipur,9,65.73,69.11,69.25
Meghalaya,Meghalaya,7,64.41,68.94,69.24
Mizoram,Mizoram,8,61.86,69.04,69.1
Nagaland,Nagaland,8,67.36,68.55,68.99
NCT of Delhi,NCT of Delhi,9,64.33,69.3,69.24
Odisha,Odisha,30,66.55,68.61,68.99
Puducherry,Puducherry*,,,,
Punjab,Punjab,17,65.82,69.12,69.24
Rajasthan,Rajasthan,32,67.26,69.14,69.23
Sikkim,Sikkim*,,,,
Tamil Nadu,Tamil Nadu,30,67.05,69.23,69.15
Tripura,Tripura*,,,,
Uttar Pradesh,Uttar Pradesh,13,64.54,69.22,69.01
Uttarakhand,Uttarakhand,70,68.01,69.07,69.19
West Bengal,West Bengal,18,66.32,68.96,69.22
