st_nm,st_nm11,N,UP_POP,UP_LR,UP_WPR_
Andaman & Nicobar Island,Andaman & Nicobar Island*,,,,
Andhra Pradesh,Andhra Pradesh,23,68.78,69.21,69.24
Arunanchal Pradesh,Arunanchal Pradesh,16,65.65,69.08,69.14
Assam,Assam,27,67.35,69.18,69.21
Bihar,Bihar,38,67.16,69.19,69.23
Chandigarh,Chandigarh*,,,,
Chhattisgarh,Chhattisgarh,18,63.51,68.88,69.25
Dadara & Nagar Havelli,Dadara & Nagar Havelli*,,,,
Daman & Diu,Daman & Diu*,,,,
Goa,Goa*,,,,
Gujarat,Gujarat,26,65.26,69.2,69.2
Haryana,Haryana,21,68.61,69.19,69.21
Himachal Pradesh,Himachal Pradesh,12,63.67,69.27,69.11
Jammu & Kashmir,Jammu & Kashmir,22,65.15,69.06,68.96
Jharkhand,Jharkhand,24,66.77,69.14,69.15
Karnataka,Karnataka,30,63.99,69.14,69.28
Kerala,Kerala,14,67.11,69.3,69.1
Lakshadweep,Lakshadweep*,,,,
Madhya Pradesh,Madhya Pradesh,50,68,69.14,69.19
Maharashtra,Maharashtra,35,65.09,69.25,69.27
Manipur,Manipur,9,66.24,69.18,69.23
Meghalaya,Meghalaya,7,64.89,69.14,69.29
Mizoram,Mizoram,8,62.01,69.05,69.1
Nagaland,Nagaland,11,65.72,69,69.01
NCT of Delhi,NCT of Delhi,9,63.32,69.3,69.21
Odisha,Odisha,30,66.58,68.93,69.07
Puducherry,Puducherry*,,,,
Punjab,Punjab,20,66.05,69.22,69.27
Rajasthan,Rajasthan,33,67.02,69.21,69.24
Sikkim,Sikkim*,,,,
Tamil Nadu,Tamil Nadu,32,67.18,69.26,69.23
Tripura,Tripura*,,,,
Uttar Pradesh,Uttar Pradesh,13,63.17,69.28,69.07
Uttarakhand,Uttarakhand,71,67.94,69.2,69.25
West Bengal,West Bengal,19,67.04,69.13,69.28
